연도,월,달력연도/월,순주문 구분,제품계층구조1,제품계층구조2,제품계층구조3,제품코드,제품명,약정기간,리스구분,비용구분,총렌탈(건),렌탈(건),재렌탈(건),일시불 건
2025,1,2025.01,순주문,기타,(X) 가습기,AM-1421G_BG,113303,AM-1421G_BG,지정되지 않음,지정되지 않음,서비스프리,,,,8
2025,1,2025.01,순주문,기타,(X) 가습기,AM-1421G_BL,113330,AM-1421G_BL,지정되지 않음,지정되지 않음,서비스프리,,,,8
2025,1,2025.01,순주문,기타,(X) 가습기,AM-1421G_WH,113329,AM-1421G_WH,지정되지 않음,지정되지 않음,서비스프리,,,,13
2025,1,2025.01,순주문,기타,기타,기타,4100144,"AROMA FILTER(아로마 샤워헤드, 리필형 필터)",지정되지 않음,지정되지 않음,서비스프리,,,,8
2025,1,2025.01,순주문,기타,안마의자,MB-B01_BK_안마형_잉크 블랙,4100718,MB-B01_BK,5,금융리스,12M,1,1,,
2025,1,2025.01,순주문,기타,안마의자,MB-B01_BK_안마형_잉크 블랙,4100718,MB-B01_BK,5,금융리스,1회서비스,10,10,,
2025,1,2025.01,순주문,기타,안마의자,MB-B01_BK_안마형_잉크 블랙,4100718,MB-B01_BK,5,금융리스,서비스프리,46,46,,
2025,1,2025.01,순주문,기타,안마의자,MB-B01_BK_안마형_잉크 블랙,4100718,MB-B01_BK,7,금융리스,12M,8,8,,
2025,1,2025.01,순주문,기타,안마의자,MB-B01_BK_안마형_잉크 블랙,4100718,MB-B01_BK,7,금융리스,1회서비스,29,29,,
2025,1,2025.01,순주문,기타,안마의자,MB-B01_BK_안마형_잉크 블랙,4100718,MB-B01_BK,7,금융리스,서비스프리,94,94,,
2025,1,2025.01,순주문,기타,안마의자,MB-B01_BK_안마형_잉크 블랙,4100718,MB-B01_BK,지정되지 않음,지정되지 않음,서비스프리,,,,1
2025,1,2025.01,순주문,기타,안마의자,MB-B01_BR_안마형_모카 브라운,4100717,MB-B01_BR,5,금융리스,12M,4,4,,
2025,1,2025.01,순주문,기타,안마의자,MB-B01_BR_안마형_모카 브라운,4100717,MB-B01_BR,5,금융리스,1회서비스,4,4,,
2025,1,2025.01,순주문,기타,안마의자,MB-B01_BR_안마형_모카 브라운,4100717,MB-B01_BR,5,금융리스,서비스프리,19,19,,
2025,1,2025.01,순주문,기타,안마의자,MB-B01_BR_안마형_모카 브라운,4100717,MB-B01_BR,7,금융리스,12M,4,4,,
2025,1,2025.01,순주문,기타,안마의자,MB-B01_BR_안마형_모카 브라운,4100717,MB-B01_BR,7,금융리스,1회서비스,7,7,,
2025,1,2025.01,순주문,기타,안마의자,MB-B01_BR_안마형_모카 브라운,4100717,MB-B01_BR,7,금융리스,서비스프리,33,33,,
2025,1,2025.01,순주문,기타,안마의자,MB-B01_BR_안마형_모카 브라운,4100717,MB-B01_BR,지정되지 않음,지정되지 않음,서비스프리,,,,3
2025,1,2025.01,순주문,기타,안마의자,MB-B01_IV_안마형_크림화이트,4100720,MB-B01_WT,5,금융리스,1회서비스,2,2,,
2025,1,2025.01,순주문,기타,안마의자,MB-B01_IV_안마형_크림화이트,4100720,MB-B01_WT,5,금융리스,서비스프리,4,4,,
2025,1,2025.01,순주문,기타,안마의자,MB-B01_IV_안마형_크림화이트,4100720,MB-B01_WT,7,금융리스,12M,3,3,,
2025,1,2025.01,순주문,기타,안마의자,MB-B01_IV_안마형_크림화이트,4100720,MB-B01_WT,7,금융리스,1회서비스,4,4,,
2025,1,2025.01,순주문,기타,안마의자,MB-B01_IV_안마형_크림화이트,4100720,MB-B01_WT,7,금융리스,서비스프리,7,7,,
2025,1,2025.01,순주문,기타,안마의자,MB-B01_IV_안마형_크림화이트,4100720,MB-B01_WT,지정되지 않음,지정되지 않음,서비스프리,,,,1
2025,1,2025.01,순주문,기타,안마의자,MB-B01_WT_안마형_샴페인 베이지,4100719,MB-B01_BG,5,금융리스,서비스프리,2,2,,
2025,1,2025.01,순주문,기타,안마의자,MB-B01_WT_안마형_샴페인 베이지,4100719,MB-B01_BG,7,금융리스,서비스프리,4,4,,
2025,1,2025.01,순주문,기타,안마의자,MB-B01_WT_안마형_샴페인 베이지,4100719,MB-B01_BG,지정되지 않음,지정되지 않음,서비스프리,,,,1
2025,1,2025.01,순주문,기타,안마의자,MB-C01_BK_롤러형_잉크 블랙,4100726,MB-C01_BK,5,금융리스,1회서비스,1,1,,
2025,1,2025.01,순주문,기타,안마의자,MB-C01_BK_롤러형_잉크 블랙,4100726,MB-C01_BK,5,금융리스,서비스프리,4,4,,
2025,1,2025.01,순주문,기타,안마의자,MB-C01_BK_롤러형_잉크 블랙,4100726,MB-C01_BK,7,금융리스,1회서비스,1,1,,
2025,1,2025.01,순주문,기타,안마의자,MB-C01_BK_롤러형_잉크 블랙,4100726,MB-C01_BK,7,금융리스,서비스프리,11,11,,
2025,1,2025.01,순주문,기타,안마의자,MB-C01_BR_롤러형_모카 브라운,4100725,MB-C01_BR,5,금융리스,서비스프리,2,2,,
2025,1,2025.01,순주문,기타,안마의자,MB-C01_BR_롤러형_모카 브라운,4100905,MB-C01_BR_쿠팡용,지정되지 않음,지정되지 않음,서비스프리,,,,2
2025,1,2025.01,순주문,기타,안마의자,MB-C01_WT_롤러형_샴페인 베이지,4100849,MB-C01_WT,5,금융리스,1회서비스,4,4,,
2025,1,2025.01,순주문,기타,안마의자,MB-C01_WT_롤러형_샴페인 베이지,4100849,MB-C01_WT,5,금융리스,서비스프리,2,2,,
2025,1,2025.01,순주문,기타,안마의자,MB-C01_WT_롤러형_샴페인 베이지,4100849,MB-C01_WT,7,금융리스,12M,1,1,,
2025,1,2025.01,순주문,기타,안마의자,MB-C01_WT_롤러형_샴페인 베이지,4100849,MB-C01_WT,7,금융리스,1회서비스,1,1,,
2025,1,2025.01,순주문,기타,안마의자,MB-C01_WT_롤러형_샴페인 베이지,4100849,MB-C01_WT,7,금융리스,서비스프리,3,3,,
2025,1,2025.01,순주문,기타,안마의자,MB-M02_BG_샴페인 베이지,4100861,MB-M02_BG,5,금융리스,12M,8,8,,
2025,1,2025.01,순주문,기타,안마의자,MB-M02_BG_샴페인 베이지,4100861,MB-M02_BG,5,금융리스,1회서비스,5,5,,
2025,1,2025.01,순주문,기타,안마의자,MB-M02_BG_샴페인 베이지,4100861,MB-M02_BG,5,금융리스,서비스프리,7,7,,
2025,1,2025.01,순주문,기타,안마의자,MB-M02_BG_샴페인 베이지,4100861,MB-M02_BG,7,금융리스,12M,5,5,,
2025,1,2025.01,순주문,기타,안마의자,MB-M02_BG_샴페인 베이지,4100861,MB-M02_BG,7,금융리스,1회서비스,3,3,,
2025,1,2025.01,순주문,기타,안마의자,MB-M02_BG_샴페인 베이지,4100861,MB-M02_BG,7,금융리스,서비스프리,13,13,,
2025,1,2025.01,순주문,기타,안마의자,MB-M02_BK_잉크 블랙    ,4100860,MB-M02_BK,5,금융리스,1회서비스,2,2,,
2025,1,2025.01,순주문,기타,안마의자,MB-M02_BK_잉크 블랙    ,4100860,MB-M02_BK,5,금융리스,서비스프리,1,1,,
2025,1,2025.01,순주문,기타,안마의자,MB-M02_BK_잉크 블랙    ,4100860,MB-M02_BK,7,금융리스,1회서비스,1,1,,
2025,1,2025.01,순주문,기타,안마의자,MB-M02_BK_잉크 블랙    ,4100860,MB-M02_BK,7,금융리스,서비스프리,1,1,,
2025,1,2025.01,순주문,기타,안마의자,MB-M02_BR_모카 브라운,4100859,MB-M02_BR,5,금융리스,12M,2,2,,
2025,1,2025.01,순주문,기타,안마의자,MB-M02_BR_모카 브라운,4100859,MB-M02_BR,5,금융리스,1회서비스,2,2,,
2025,1,2025.01,순주문,기타,안마의자,MB-M02_BR_모카 브라운,4100859,MB-M02_BR,5,금융리스,서비스프리,4,4,,
2025,1,2025.01,순주문,기타,안마의자,MB-M02_BR_모카 브라운,4100859,MB-M02_BR,7,금융리스,12M,2,2,,
2025,1,2025.01,순주문,기타,안마의자,MB-M02_BR_모카 브라운,4100859,MB-M02_BR,7,금융리스,1회서비스,2,2,,
2025,1,2025.01,순주문,기타,안마의자,MB-M02_BR_모카 브라운,4100859,MB-M02_BR,7,금융리스,서비스프리,7,7,,
2025,1,2025.01,순주문,기타,안마의자,MB-M02_WT_크림화이트,4100862,MB-M02_WT,5,금융리스,1회서비스,1,1,,
2025,1,2025.01,순주문,기타,안마의자,MB-M02_WT_크림화이트,4100862,MB-M02_WT,5,금융리스,서비스프리,2,2,,
2025,1,2025.01,순주문,기타,안마의자,MB-M02_WT_크림화이트,4100862,MB-M02_WT,7,금융리스,12M,1,1,,
2025,1,2025.01,순주문,기타,안마의자,MB-M02_WT_크림화이트,4100862,MB-M02_WT,7,금융리스,1회서비스,1,1,,
2025,1,2025.01,순주문,기타,안마의자,MB-M02_WT_크림화이트,4100862,MB-M02_WT,7,금융리스,서비스프리,2,2,,
2025,1,2025.01,순주문,기타,안마의자,MB-M02_WT_크림화이트,4100862,MB-M02_WT,지정되지 않음,지정되지 않음,서비스프리,,,,1
2025,1,2025.01,순주문,기타,안마의자,MB-R02_BG_샴페인 베이지,4100865,MB-R02_BG,5,금융리스,12M,1,1,,
2025,1,2025.01,순주문,기타,안마의자,MB-R02_BG_샴페인 베이지,4100865,MB-R02_BG,5,금융리스,1회서비스,1,1,,
2025,1,2025.01,순주문,기타,안마의자,MB-R02_BG_샴페인 베이지,4100865,MB-R02_BG,5,금융리스,서비스프리,1,1,,
2025,1,2025.01,순주문,기타,안마의자,MB-R02_BG_샴페인 베이지,4100865,MB-R02_BG,7,금융리스,서비스프리,1,1,,
2025,1,2025.01,순주문,기타,안마의자,MB-R02_BK_잉크 블랙,4100864,MB-R02_BK,5,금융리스,서비스프리,1,1,,
2025,1,2025.01,순주문,기타,안마의자,MB-R02_BK_잉크 블랙,4100864,MB-R02_BK,지정되지 않음,지정되지 않음,서비스프리,,,,1
2025,1,2025.01,순주문,기타,안마의자,MB-R02_BR_모카 브라운,4100863,MB-R02_BR,7,금융리스,12M,1,1,,
2025,1,2025.01,순주문,기타,안마의자,MB-R02_BR_모카 브라운,4100863,MB-R02_BR,7,금융리스,서비스프리,2,2,,
2025,1,2025.01,순주문,기타,안마의자,MB-R02_BR_모카 브라운,4100863,MB-R02_BR,지정되지 않음,지정되지 않음,서비스프리,,,,2
2025,1,2025.01,순주문,기타,안마의자,MB-R02_WT_크림화이트,4100866,MB-R02_WT,5,금융리스,12M,1,1,,
2025,1,2025.01,순주문,기타,안마의자,MC_B02_GR_아틱 그레이,4100914,MC-B02_GR,5,금융리스,1회서비스,24,24,,
2025,1,2025.01,순주문,기타,안마의자,MC_B02_GR_아틱 그레이,4100914,MC-B02_GR,5,금융리스,6M,14,14,,
2025,1,2025.01,순주문,기타,안마의자,MC_B02_GR_아틱 그레이,4100914,MC-B02_GR,5,금융리스,서비스프리,95,94,1,
2025,1,2025.01,순주문,기타,안마의자,MC_B02_GR_아틱 그레이,4100914,MC-B02_GR,지정되지 않음,지정되지 않음,서비스프리,,,,3
2025,1,2025.01,순주문,기타,안마의자,MC-B02_BG_샴페인 베이지,4100878,MC-B02_BG,5,금융리스,1회서비스,71,69,2,
